Organization,City,State,Company Website Address,College All or Specific Majors,College Majors Ag/Life Sciences,College Majors Bus/Comm,College Majors Ed/Human Dev,College Majors Lang/Letters,College Majors Perf/Visual Arts,College Majors Ph Sciences/Engineering,College Majors Found/Interd Studies,Company Paragraph,Organization Type,Cost of Tuition?,Average Time to Graduation?,Industry Job Outlook?,Placement Rate?,Booths-Employer,Booths-Graduate School,Booths-On Campus Group
Brushbuck Wildlife Tours,Jackson,WY,www.brushbucktours.com,All Majors,,,,,,,,"Brushbuck Wildlife Tours is a tour company that focuses on introducing people to and educating them on the outdoors, wildlife behavior and balanced ecosystems.  We pride ourselves in not only outstanding customer satisfaction, but also a well-rounded knowledge base to ensure our guests leave our tours with an enhanced perception of the world around them.

Although we are a growing company with tours outside of Wyoming, we are currently hiring guides to run guided tours of Yellowstone National Park and Grand Teton National Park.  We primarily look for individuals with biology/environmental degrees, or individuals with a wealth of outdoor experience and knowledge.",Employer,,,,,E-9,,
Butler Professional Farrier School,Crawford,NE,495 Table Rd,All Majors,,,,,,,,Butler Professional Farrier School is a trade school located in Northwest Nebraska that focuses on horse foot care. Students that have completed the course have gone on to successfully start their own business shoeing and trimming horses. This is a perfect fit for the entrepreneurial individual with an agricultural background.,Graduate School,"$4,950-$8,900",6-week - 12-week,good,n/a,,N-1,
BYU Center for Language Studies,Provo,UT,slat.byu.edu,All Majors,,,,,,,,"The mission of the BYU Master of Arts program in Second Language Teaching (SLaT) is to prepare graduate students to work in the field of second language teaching with additional understanding, knowledge, and pedagogical skills beyond those acquired at the undergraduate level. This program may serve as either a terminal M.A. program or a springboard to a Ph.D.

The SLaT program is ideally suited to the needs of individuals who have completed undergraduate degrees in a foreign language and have an interest in teaching their acquired language in an advanced educational setting, such as in a college or university, or in a business enterprise. The SLaT M.A. is not a public-school certification program, but the program will be beneficial to currently certified foreign language teachers as part of their continuing professional development or as preparation to pursue a Ph.D.

Visit slat.byu.edu for more information",Graduate School,$7080 per year,2 years,"Higher Education, Foreign Language Teaching",75% of our students have teaching positions upon graduating.,,K-7,
BYU J. Reuben Clark Law School,Provo,UT,http://www.law2.byu.edu/site/home,All Majors,,,,,,,,"Brigham Young University?s J. Reuben Clark Law School is distinguished by the strength of its programs and the accomplishments of its graduates. The Law School's relatively small entering class size lends itself to individualized instruction, while the University, with its 30,000 students, provides all the athletic, cultural, and social opportunities that a student expects from a great university. BYU Law is currently ranked the # 1 Best Value Private Law School by National Jurist and the #2 Best Value Law School overall. Other recent rankings recognizing our overall value proposition include--# 1 in the Mountain West, # 3 in the Pacific and # 18 nationally for employment; # 1 nationally for graduates with the lowest debt; and # 1 nationally for our graduates? salary to debt ratio.",Graduate School,"LDS: $13,060/year, Non-LDS: $26,120/year",3 years,.,.,,N-2,
BYU MBA,Provo,UT,https://marriottschool.byu.edu/mba/,All Majors,,,,,,,,BYU MBA,Graduate School,"24,620",2 years,-,90%,,L-1,
BYU Psychology Department,Provo,UT,psychology.byu.edu,Specific Majors,,,"Psychology - General Psychology,Psychology - Industrial/Organizational Psychology",,,,,"The Psychology PhD offers rigorous educational experience leading to the PhD degree. The first four semesters of the program are designed to provide a broad acquaintance with the substantive areas of the discipline training in research skills, and introduction to the particular areas of emphasis offered in the program. During the last two years students will pursue specialized course work and training in one of the three main emphasis areas 1) Applied Social Psychology 2) Cognitive and Behavioral Neurosciences 3) Developmental Psychology. Students across the three emphases may elect to complete a cross-area emphasis in Health Psychology.

The Clinical Psychology doctoral program at BYU is a well established, nationally visible program that has enjoyed continuous accreditation since 1971.The five-year training program (including a one-year full-time internship) adheres to the scientist-practitioner model. Cognitive-behavioral and behavioral approaches are well-represented, in addition to interpersonal, family systems, compassion-focused and mindfulness-based orientation, so that students are exposed to a diversity of clinical approaches and populations. Training focuses on academic and research competence and gives students both the theoretical and the practical experience necessary to develop strong clinical skills.",Graduate School,"LDS $8600 Non-LDS $17,200",4-5.5 years,good,good,,K-4,
BYU-David O. McKay School of Education,Provo,UT,education.byu.edu,All Majors,,,,,,,,"The David O. McKay School of Education, located on BYU-Provo campus, offers many options for graduate study. Students with an education background and students from a variety of diverse majors find a home in the McKay School. From Counseling Psychology and Education Policy to School Psychology and Speech Language Pathology, we have options for you to work in vital roles that improve the lives of individuals and communities. Do you want to make a difference? You can work to improve education policies, enrich the education process though instructional design, advance mental health awareness, or become a master teacher in your local school. As a graduate student in the McKay School you will join a community of life-long learners committed to preparing students to make a lasting impact in the world.",Graduate School,"$3540/Semester for LDS, $7,080/Semester for Non-LDS","Varies, depends on the type of program",Education industry has a bright career outlook,"Varies, depends on the type of program",,M-3,
BYU-Idaho Online Employment,Sugar City,ID,PO Box 133,All Majors,,,,,,,,"BYU-Idaho and BYU Pathway Worldwide have immediate needs for talented and qualified online instructors in a number of academic disciplines.
  Online instructors work part-time from home and have a flexible work schedule.  Teaching online for BYU-Idaho is a great way to give back your love of learning to students all over the world.
 Most online courses require a master's degree or higher to teach, but a few courses can be taught with a bachelor's degree.  More information can be found at go.byui.edu/teachonline.",Employer,,,,,D-7,,
BYU-Idaho Student Financial Aid Office,Rexburg,ID,www.byui.edu/financial-aid,All Majors,,,,,,,,"The Financial Aid office strives to satisfy the needs of our students by providing them with timely access to financial resources while maintaining the highest standards of compliance. 

In doing so, students are better able to focus on their education and developing an attitude of lifelong learning. These strategies enable students to afford a high-quality education.",Employer,,,,,D-9,,
BYU-Master of Public Health Program,Provo,UT,mph.byu.edu,All Majors,,,,,,,,"The Master of Public Health (MPH) degree is a practice based degree, and is the most recognized professional-level credential in public health.

BYU's nationally accredited MPH degree will assist students to fulfill core requirements in areas of knowledge basic to public health, with an emphasis in health promotion. This emphasis is designed to promote health and prevent disease by developing population-based health promotion strategies.

The MPH program responds to the needs of health professionals who wish to expand their career options in public health. Promising career options and national certifications are available upon graduation with this degree.",Graduate School,"$3,500 per semester",1.5-2 years,.,80%,,N-13,
Cabela's,Ammon,ID,Cabelas.com,All Majors,,,,,,,,"Cabela?s Incorporated, headquartered in Sidney, Nebraska, is a leading specialty retailer, and the world?s largest direct marketer of hunting, fishing, camping and related outdoor merchandise. Since the Company?s founding in 1961, Cabela?s has grown to become one of the most well-known outdoor recreation brands in the world and has long been recognized as the World?s Foremost Outfitter. Through Cabela?s growing number of retail stores and its well-established direct business, it offers a wide and distinctive selection of high-quality outdoor products at competitive prices while providing superior customer service. Cabela?s also issues the Cabela?s CLUB card, which serves as its primary customer loyalty rewards program.

We pride ourselves on bringing to our customers quality hunting, fishing, camping and related outdoor products at a competitive price.",Employer,,,,,B-4,,
California English,Elk Grove,CA,www.CaEnglishForChina.com,All Majors,,,,,,,,"We are an English Learning Center located in Shanghai, China. We have been in business for four years and teach around 150 students. We are looking for adventurous, easy-going, and adaptable people who are looking for a life-changing opportunity abroad. Teachers have a huge impact on children's futures. We want you to grow from your experience, support you throughout the process, and be immersed in the Chinese culture.",Employer,,,,,C-8,,
Career and Academic Advising,Rexburg,ID,NONE,All Majors,,,,,,,,Need help with class planning? Need help with choosing the right major? We can help! Career & Academic Advising will be available to help set up an appointment with your academic advisor and answer any questions you have.,Employer,,,,,D-6,,P-2
Carriage Cove,Rexburg,ID,http://madisoncarriagecove.com,Specific Majors,"Associate of Science in Nursing    ,Bachelor of Science in Nursing (ASN to BSN)    ,Healthcare Administration     ,Medical Assisting    ,Physical Therapy Assistant    ,Public Health,Recreation Management  - Therapeutic Recreation",Business Management - Marketing,,,,,,Madison Carriage Cove is a beautiful short-term sub-acute and long-term care skilled nursing facility. Our focus is to provide highest quality of care for our rehab guest and long-term residents. All 35 of our private suites provide comfort during the healing process to transition home.,Employer,,,,,E-6,,
Chick-fil-A of Ammon,Ammon,ID,NONE,All Majors,,,,,,,,"A locally-owned Chick-fil-A franchise seeking students who are interested in owning their own Franchise, or pursuing careers with Chick-fil-A.",Employer,,,,,G-12,,
China Horizons,Rexburg,ID,www.chinahorizons.org,All Majors,,,,,,,,"China Horizons offers short-term ESL cultural exchange programs with numerous schools throughout China (PRC). We provide an authentic Chinese experience for honest, dedicated and creative English-speaking teachers. This unique experience promotes cultural awareness and deep immersion into the Chinese culture and way of life.  An affordable one semester volunteer program for $975 is available to those participants without a degree. Salaried positions are open to applicants with a BA/BS degree or higher and a minimum of 2 yrs. teaching experience. Chinese language knowledge is not required to apply. Applicants are placed with at least one other China Horizons participant. Placements available for both married couples and single applicants.",Employer,,,,,I-2,,
Church of Jesus Christ of Latter-day Saints,Riverton,UT,3740 W Market Center Drive,Specific Majors,,"Business Analytics       ,Business Management - Supply Chain Management",,,Graphic Design,"AAS--Computer Information Systems,AAS--Computer Programming,AAS--Data Science,AAS--Electrical and Computer Engineering,AAS--Engineering Technology,Applied Mathematics     ,Applied Software Engineering,Computer Engineering     ,Computer Information Technology,Computer Science     ,Data Science,Software Engineering    ,Web Design and Development - Design,Web Design and Development - Development",,We provide technical internship opportunities with the Church of Jesus Christ of Latter-day Saints. The Information and Communication Services and Family Search department handle all of the technical needs of this global organization. Our internship program provides you with an amazing opportunity to learn and apply new technology and solutions to all aspects of a large organization. The paid internship are 4 months long and are offer year-round. You must be a temple-worthy member of the LDS Church to apply.,Employer,,,,,"H-2,H-3",,
Citizens for Decency,Sugar City,ID,www.cfdec.org,All Majors,,,,,,,,"Citizens for Decency aims to protect families and individuals from the harms of pornography by advocating for public policy changes on pornography issues. We provide resources for parents, addicts, and individuals of all ages and provide information about pornography?s harmful effects.",Employer,,,,,D-12,,
Cives Steel Company,Idaho Falls,ID,www.cives.com,Specific Majors,,,,,,"AAS--Welding Engineering Technology,Civil Engineering,Construction Management",,"Cives Steel Company is the largest EMPLOYEE OWNED Structural Steel Fabricator in the United States.  The Northwest Division is located in Ucon, Idaho.  As a corporation, Cives fabricates over 100,000 tons of structural steel annually and offers our customer base over 1.3 million man-hours of AISC certified fabrication labor per year.  Since Cives' humble beginnings in 1952, we have worked hard to develop and maintain a reputation with the country's leading general contractors for consistently providing ""A JOB WELL DONE.""",Employer,,,,,E-1,,
Clear Insights,Rexburg,ID,clearinsightsgroup.com,All Majors,,,,,,,,"Clear Insights is a insights and survey research corporation with the mission of bringing clarity to the most pressing problems our clients face. Through the application of industry-leading market and public opinion survey research methods, we are committed to contributing value to the clients with whom we work, our employees and the communities of which we are a part. At Clear Insights, we are committed to the highest service, quality and ethical standards to be found in the market research and insights industry. We maintain a respectful and comfortable office environment, work hard and believe in having a great time.

The senior leadership team at Clear Insights has more than 70 years combined experience in market and public opinion survey research and insights. We have managed thousands of initiatives for the biggest names in survey research, business consulting, and F2000 companies. We know what it takes at every stage in the business lifecycle?both our own and our clients??to deliver maximum value. With both domestic and farshore operating experience and well developed skills across all methodologies and vertical industries, we bring these strengths to bear on every project and each client with whom we have the pleasure of serving.",Employer,,,,,F-7,,
Clearwater Analytics,Boise,ID,http://clearwater-analytics.com/,Specific Majors,,,,,,"Computer Engineering     ,Computer Science     ,Software Engineering",,"Clearwater Analytics? is the leading provider of web-based investment portfolio accounting, reporting, and reconciliation services for institutional investors at thousands of organizations.",Employer,,,,,G-5,,
Concordia Law School,Boise,ID,http://law.cu-portland.edu/,All Majors,,,,,,,,"Concordia University School of Law is a private, non-profit, ABA Provisionally Approved law school which opened in August 2012 in Boise in the U.S. state of Idaho. Announced in 2007, the school originally planned to open in fall 2011. The first class had 75 students and the school expects to grow to 250 students when fully operational. The law school is the second in Idaho, and the first in Boise. The school is part of Concordia University, a private Lutheran school based in Portland, Oregon.",Graduate School,"$87,750 ",3-4 years,Good,84%,,L-12,
"Consolidated Electrical Distributors, INC.",Spokane Valley,WA,cedcareers.com,Specific Majors,,"AAS-Administrative Assistant/Office Manager,Accounting,Agribusiness  - Agribusiness Management,Agribusiness  - Global Food and Agribusiness Management,Agricultural Economics    ,Applied Management   ,Business Analytics       ,Business Management - Entrepreneurial Management,Business Management - Finance,Business Management - Marketing,Business Management - Supply Chain Management,Communication - Advertising,Communication - News/Journalism,Communication - Organizational Communication and Advocacy,Communication - Public Relations,Communication - Video Production,Communication - Visual Communication,Economics ,Financial Economics",,,,,,"About Consolidated Electrical Distributors, Inc.

In 1957, the two locations of the Electric Corporation of San Francisco became CONSOLIDATED ELECTRICAL DISTRIBUTORS, INC.  CED has since expanded into a coast-to-coast network of sales and distribution warehouses with more than 600 locations nationwide.  The CED management philosophy allows each manager to operate an independent business or ?Profit Center? by remaining sensitive to local customers? needs while still benefiting from the advantages afforded to a national distributor.  Managers are guided by the principles of ?service, integrity and reliability.? CED is an Equal Opportunity/Disability/Veteran Employer",Employer,,,,,O-11,,
Curtiss-Wright Corporation,Idaho Falls,ID,www.curtisswright.com,Specific Majors,,,,,,"Computer Engineering     ,Electrical Engineering       ,Software Engineering",,"Curtiss-Wright's Scientech is a global provider of commercial power instrumentation, electrical components, specialty hardware, process control systems, and proprietary database solutions aimed at improving safety, plant performance and reliability as well as reducing costs. Scientech offers products and services for the nuclear, fossil, and renewable generating markets.",Employer,,,,,A-8,,
Delaware North at Yellowstone,Bozeman,MT,ygsjobs.com,All Majors,,,,,,,,"Delaware North is a hospitality and food service provider with subsidiaries, which span various industries including Travel Hospitality Services, Sportservice, Parks & Resorts, Gaming & Entertainment, Boston, and International. With 60,000 associates in four countries including Australia and England serving more than twenty stadiums and arenas and over ten parks including Yellowstone, Grand Canyon, Shenandoah and Sequoia National Park DNC has many exciting opportunities. 

Delaware North at Yellowstone operates 12 general stores in Yellowstone National Park along with support operations in the town of West Yellowstone. As a partner with the National Park Service, we employ 600 summer seasonal associates to deliver an extraordinary retail experience to the millions of guests that visit the park every year, providing them with food, equipment, supplies, keepsakes, and collectibles through Yellowstone General Stores.",Employer,,,,,B-11,,
Dr. Vinyl of Eastern Idaho,Rexburg,ID,none,Specific Majors,,"Applied Management   ,Business Management - Entrepreneurial Management,Business Management - Marketing",,,,,,"Dr. Vinyl of Eastern Idaho is a automotive and furniture reconditioning company. We are a family oriented, employee centered company and our focus is to provide excellent customer service and an ideal lifestyle for our employees. Come see us at the career fair to receive more information.",Employer,,,,,C-10,,
E*TRADE Financial,Sandy,UT,http://www.etrade.com,Specific Majors,,"Accounting,Applied Management   ,Business Analytics       ,Business Management - Entrepreneurial Management,Business Management - Finance,Business Management - Marketing,Business Management - Supply Chain Management,Economics ,Financial Economics",,,,,,"E*TRADE is a leading financial services company and pioneer in the online brokerage industry. Having executed the first-ever electronic trade by an individual investor more than 30 years ago, the Company has long been at the forefront of the digital revolution, focused on delivering complete and easy-to-use solutions for traders, investors and stock plan participants. Founded on the principle of innovation, E*TRADE aims to enhance the financial independence of traders and investors through a powerful digital offering and professional guidance?over the phone at two national branches and in-person at 30 E*TRADE branches across the United States. E*TRADE operates a bank with the primary purpose of maximizing the value of deposits generated through its brokerage business.",Employer,,,,,J-5,,
Ecolab,Kaysville,Ut,Ecolab.com,All Majors,,,,,,,,"OUR COMPANY 
At Ecolab, we deliver solutions to leading brands in healthcare, 
lodging, food service, manufacturing, energy and other industries, to 
help make the world cleaner, safer and healthier, protecting people 
and vital resources. 
ECOLAB 
A trusted partner at nearly three million customer 
locations, Ecolab Inc. is the global leader in water, 
hygiene and energy technologies and services that 
protect people and vital resources. From 
restaurants and hotels, to refineries and factories, 
our 48,000 associates help customers optimize the 
cleanliness, efficiency, safety, sustainability and 
profitability of their operations in more than 170 
countries worldwide. 
Search Jobs at Ecolab",Employer,,,,,O-13,,
Edward Jones,Idaho Falls,ID,edwardjones.com,All Majors,,,,,,,,"You can make a difference in your community by helping clients achieve their financial goals. And while doing that, you will also be taking charge of your work-life balance and determining your own income potential. Take the next step, and take the lead running your own professional practice. Apply to become an Edward Jones Financial Advisor now.
careers.edwardjones.com/apply",Employer,,,,,I-6,,
"Electrical Consultants, Inc.",Billings,MT,www.electricalconsultantsinc.com,Specific Majors,,,,,,"Civil Engineering,Electrical Engineering",,"Electrical Consultants, Inc. (ECI) was incorporated in 1985 & has grown significantly since its humble beginnings & currently employs over 450 professional engineers, surveyors & technical staff performing project design work throughout the U. S. and abroad.
Operating from eleven major regional offices throughout the U.S., ECI has expanded its presence as one of the country?s leading T&D consulting design firms. ECI?s staff consists of highly experienced, qualified individuals available to coordinate & direct engineering efforts for any number of services. 
Our wholly owned subsidiary, EPC Services Co, was formed in 2000 to provide a professional based Project Management/EPC firm to handle the demand for utility & independent power delivery projects having even shorter times for completion.",Employer,,,,,D-1,,
Elite Health Care,Idaho Falls,ID,https://www.elitehcn.com/,All Majors,,,,,,,,"We provide numerous services for the physically and intellectually disabled community here in southeastern Idaho. 

We offer community activities such as swimming, movies, involvement in special Olympics, volunteering opportunities in the community, as well as assistance with educational and career goals.",Employer,,,,,A-13,,
"Engineering System Solutions, ES2",Idaho Falls,ID,www.es2eng.com,Specific Majors,,,,,,"Civil Engineering,Electrical Engineering       ,Mechanical Engineering",,"ES2, a structural and MEP consulting firm, is seeking individuals who are interested in structural, mechanical, and electrical analysis and design.  We have offices in Idaho Falls, Las Vegas, and Sacramento.  We specialize in providing engineering services for all types of residential and commercial building projects.  ES2 provides a fantastic work environment that allows for employees to grow, develop, and advance through the empowerment of individuals.  Empowering individuals is a key focus for ES2 because we believe in helping individuals advance toward personal and financial goals.  ES2 provides quality training for individuals by allowing one-on-one interaction with licensed Professional Engineers in order to get answer to questions and help provide solutions to problems.  We are constantly looking for ways to best utilize the talents and abilities of each individual. Our goal is to hire outstanding people from diverse backgrounds who share our core values, and provide an environment for them to flourish.",Employer,,,,,I-10,,
